epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,115.692,0.59492,0.56383,0.84218,0.90894,0.97063,0.98504,0.83438,0.57279,0.69764,0.78602,0.000197876,0.000197876,0.000197876
76,117.089,0.61323,0.72099,0.89868,0.90894,0.97063,0.98504,0.83438,0.57279,0.69764,0.78602,0.000193125,0.000193125,0.000193125
77,118.578,1.2707,1.05399,1.12028,0.96794,0.94444,0.98962,0.83877,0.56011,0.62743,0.78241,0.000188176,0.000188176,0.000188176
78,119.973,0.9085,0.71783,0.90784,0.96794,0.94444,0.98962,0.83877,0.56011,0.62743,0.78241,0.000183029,0.000183029,0.000183029
79,121.379,0.53219,0.51456,0.84261,0.96794,0.94444,0.98962,0.83877,0.56011,0.62743,0.78241,0.000177684,0.000177684,0.000177684
80,122.999,0.58972,0.54965,0.87271,0.96794,0.94444,0.98962,0.83877,0.56011,0.62743,0.78241,0.000172141,0.000172141,0.000172141
81,124.49,1.47029,1.19554,1.25596,0.96794,0.94444,0.98962,0.83877,0.56011,0.62743,0.78241,0.0001664,0.0001664,0.0001664
82,125.897,1.2855,1.14423,1.16185,0.96794,0.94444,0.98962,0.83877,0.56011,0.62743,0.78241,0.000160461,0.000160461,0.000160461
83,127.217,0.6737,0.60612,0.86919,0.96794,0.94444,0.98962,0.83877,0.56011,0.62743,0.78241,0.000154324,0.000154324,0.000154324
84,128.862,0.79905,0.6593,0.88353,0.96664,0.97063,0.995,0.85505,0.54095,0.53902,0.78135,0.000147989,0.000147989,0.000147989
85,130.246,0.52908,0.51,0.85387,0.96664,0.97063,0.995,0.85505,0.54095,0.53902,0.78135,0.000141456,0.000141456,0.000141456
86,131.537,0.57898,0.50251,0.82321,0.96664,0.97063,0.995,0.85505,0.54095,0.53902,0.78135,0.000134725,0.000134725,0.000134725
87,132.978,1.17433,1.16338,1.20932,0.96664,0.97063,0.995,0.85505,0.54095,0.53902,0.78135,0.000127796,0.000127796,0.000127796
88,134.287,0.53942,0.5899,0.86518,0.96664,0.97063,0.995,0.85505,0.54095,0.53902,0.78135,0.000120669,0.000120669,0.000120669
89,135.689,0.64983,0.65405,0.89486,0.96664,0.97063,0.995,0.85505,0.54095,0.53902,0.78135,0.000113344,0.000113344,0.000113344
90,137.015,0.64828,0.55253,0.90321,0.96664,0.97063,0.995,0.85505,0.54095,0.53902,0.78135,0.000105821,0.000105821,0.000105821
91,138.469,0.55419,0.48075,0.81031,0.97969,0.98948,0.995,0.86245,0.52701,0.50004,0.77858,9.81e-05,9.81e-05,9.81e-05
92,139.919,0.53684,0.53901,0.85638,0.97969,0.98948,0.995,0.86245,0.52701,0.50004,0.77858,9.0181e-05,9.0181e-05,9.0181e-05
93,141.253,0.5852,0.4842,0.80963,0.97969,0.98948,0.995,0.86245,0.52701,0.50004,0.77858,8.2064e-05,8.2064e-05,8.2064e-05
94,143.36,0.58881,0.48074,0.80258,0.97969,0.98948,0.995,0.86245,0.52701,0.50004,0.77858,7.3749e-05,7.3749e-05,7.3749e-05
95,145.198,0.56255,0.49786,0.82015,0.97969,0.98948,0.995,0.86245,0.52701,0.50004,0.77858,6.5236e-05,6.5236e-05,6.5236e-05
96,146.485,0.55284,0.53956,0.88018,0.97969,0.98948,0.995,0.86245,0.52701,0.50004,0.77858,5.6525e-05,5.6525e-05,5.6525e-05
97,147.842,0.54624,0.46287,0.80596,0.97969,0.98948,0.995,0.86245,0.52701,0.50004,0.77858,4.7616e-05,4.7616e-05,4.7616e-05
98,149.298,0.94345,0.84569,0.84635,0.97969,0.98948,0.995,0.86245,0.52701,0.50004,0.77858,3.8509e-05,3.8509e-05,3.8509e-05
99,150.807,0.561,0.54935,0.8922,0.9805,0.99398,0.995,0.86323,0.51965,0.48422,0.77586,2.9204e-05,2.9204e-05,2.9204e-05
100,152.182,0.55997,0.53045,0.85039,0.9805,0.99398,0.995,0.86323,0.51965,0.48422,0.77586,1.9701e-05,1.9701e-05,1.9701e-05
